Category,Subcategory,Name,Description,Data Type / Method,Default / Endpoint,Constraints / Permissions,SQL / Logic
Function,calculate_roi,ROI Calculation,Internal logic for monthly ROI,RETURNS VOID,Cron job,,CREATE OR REPLACE FUNCTION calculate_roi() RETURNS VOID ...
Edge Function,send-otp,OTP Email Service,Sends verification code via Zoho Mail,POST,/functions/v1/send-otp,,Invoke via supabase.functions.invoke('send-otp' { body: { email purpose } })
Edge Function,verify-otp,OTP Verification,Verifies the 6-digit code,POST,/functions/v1/verify-otp,,Invoke via supabase.functions.invoke('verify-otp' { body: { email otp purpose } })
Edge Function,create-user,User Creation,Finalize signup after OTP,POST,/functions/v1/create-user,,Invoke via supabase.functions.invoke('create-user' { body: { email password userData } })
Edge Function,verify-transaction,Blockchain Verification,Verifies TX hash for deposit,POST,/functions/v1/verify-transaction,,Invoke via supabase.functions.invoke('verify-transaction' { body: { tx_hash network } })
Secret,ZOHO_API_KEY,Email Service Auth,API key for Zoho Mail SMTP/API,STRING,,,supabase secrets set ZOHO_API_KEY=...
Secret,ZOHO_SMTP_HOST,Email Server,SMTP host address,STRING,smtp.zoho.com,,supabase secrets set ZOHO_SMTP_HOST=...
Env Var,VITE_SUPABASE_URL,Backend URL,Supabase project endpoint,STRING,https://...supabase.co,,Defined in .env
Env Var,VITE_SUPABASE_ANON_KEY,Public Key,Supabase public anon key,STRING,eyJ...h,,Defined in .env
Value,Referral,Level 1 Commission,MLM Level 1 earning rate,PERCENTAGE,8%,,Set in platform_settings or code
Value,Referral,Level 2 Commission,MLM Level 2 earning rate,PERCENTAGE,4%,,Set in platform_settings or code
Value,Referral,Level 3 Commission,MLM Level 3 earning rate,PERCENTAGE,2%,,Set in platform_settings or code
Value,Referral,Level 4 Commission,MLM Level 4 earning rate,PERCENTAGE,1%,,Set in platform_settings or code
Value,Investment,Monthly ROI,Monthly return on investment,PERCENTAGE,10%,,Set in platform_settings or code
Value,Transaction,Deposit Fee,Platform fee on deposits,PERCENTAGE,5%,,Set in platform_settings or code
Value,Transaction,Withdrawal Fee,Platform fee on withdrawals,PERCENTAGE,5%,,Set in platform_settings or code
SQL Editor,Admin,Get Total Deposits,Query for total confirmed deposits,SQL,,,SELECT SUM(amount) FROM deposits WHERE status = 'completed'
SQL Editor,Admin,Get Active Users,Query for active investors,SQL,,,SELECT COUNT(DISTINCT user_id) FROM deposits WHERE status = 'completed'
SQL Editor,Admin,Reset User Password,Force reset a user's password,SQL,,,UPDATE auth.users SET encrypted_password = crypt('new_password' gen_salt('bf')) WHERE email = 'user@example.com'
Value,Landing,Hero Section,Main landing hero,JSON,"{""badge"": ""Live Platform Status: Active"" ""title"": ""The Gold Standard of Digital Wealth"" ...}",,
Value,Landing,Features,Key platform features,JSON,"{""title"": ""Why Choose Us"" ""items"": [...] }",,
Value,Landing,SEO,Search engine optimization,JSON,"{""title"": ""Gold X Usdt - Premium Crypto Investment Platform"" ...}",,
Value,Tutorials,Deposit Tutorial,Example tutorial entry,DATA,Title: "How to Deposit USDT" | Order: 1,,
Value,Coupons,WELCOME10,Example 10% bonus coupon,DATA,Code: "WELCOME10" | Percentage: 10,,
Value,Admin,Super Admin Email,Initial platform administrator,DATA,admin@goldxusdt.com,,
Value,Admin,Withdrawal Cooling,Time before ROI/Bonus withdraw,TIME,ROI: 48h | Bonus: 30d,,
Value,Referral,Levels,MLM levels depth,INT,4 levels (8/4/2/1),,
Value,System,Currency,Platform native asset,TEXT,USDT (BEP20 / TRC20),,
Value,System,Min Deposit,Compulsory min investment,NUMERIC,100 USDT,,
Value,System,Min Withdrawal,Minimum withdraw amount,NUMERIC,10 USDT,,
Value,System,ROI Cycle,Daily/Monthly frequency,TEXT,Monthly (10%),,

SQL Editor,Admin,Promote to Admin,Grant admin role to user,SQL,,,UPDATE profiles SET role = 'admin' WHERE email = 'admin@example.com'
SQL Editor,Wallet,Sync Balances,Re-calculate wallet from transactions,SQL,,,UPDATE wallets w SET balance = (SELECT COALESCE(SUM(net_amount) 0) FROM transactions WHERE user_id = w.user_id AND transaction_type = 'deposit' AND status = 'completed') - ...
